State, PC No. ,PC Name ,Category ,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
Gujarat,7,Ahmedabad East,GEN,Harin Pathak,M,BJP,318846,Babaria Dipakbhai Ratilal,M,INC,232790
Gujarat,8,Ahmedabad West,(SC),Dr. Kirit Premjibhai Solanki,M,BJP,376823,Parmar Shailesh Manharlal,M,INC,285696
Gujarat,9,Surendranagar,GEN,Somabhai Gandalal Koli Patel,M,INC,247710,Mer Laljibhai Chaturbhai,M,BJP,242879
Gujarat,10,Rajkot,GEN,Kunwarjibhai Mohanbhai Bavaliya,M,INC,307553,Kirankumar Valjibhai Bhalodia (Patel),M,BJP,282818
Gujarat,11,Porbandar,GEN,Vitthalbhai Hansrajbhai Radadiya,M,INC,329436,Khachariya Mansukhbhai Shamjibhai,M,BJP,289933
Gujarat,<b>By Polls (2013)</b>,Porbandar,GEN,Radadiya Vithalbhai Hansrajbhai,M,BJP,289893,Amipura Vinubhai Gordhanbhai,M,INC,144370
Gujarat,12,Jamnagar,GEN,Vikrambhai Arjanbhai Maadam,M,INC,281410,Mungra Rameshbhai Devraj Bhai,M,BJP,254992
Gujarat,13,Junagadh,GEN,Dinubhai Boghabhai Solanki,M,BJP,355335,Barad Jashubhai Dhanabhai,M,INC,341576
Gujarat,14,Amreli,GEN,Naranbhai Kachhadia,M,BJP,247666,Nilaben Virjibhai Thummar,M,INC,210349
Gujarat,15,Bhavnagar,GEN,Rajendrasinh (Raju Rana) Rana ,M,BJP,213376,Gohilmahavirsinhbhagir Athsinh,M,INC,207483
Gujarat,16,Anand,GEN,Bharatsinh Madhavsinh Solanki,M,INC,348655,Patel Dipakbhai Chimanbhai,M,BJP,281337
Gujarat,17,Kheda,GEN,Dinsha J. Patel,M,INC,284004,Chauhan Devusinh Jesingbhai,M,BJP,283158
Gujarat,18,Panchmahal,GEN,Prabhatsinh Pratapsinh Chauhan,M,BJP,282079,Vaghela Shankarsinh Laxmansinh,M,INC,279998
Gujarat,19,Dahod,(ST),Dr. (Smt.) Prabha Kishor Taviadi,F,INC,250586,Damor Somjibhai Punjabhai,M,BJP,192050
Gujarat,20,Vadodara,GEN,Balkrishna Khanderao Shukla,M,BJP,428833,Gaekwad Satyajitsinh Dulipsinh,M,INC,292805
Gujarat,21,Chhota Udaipur,(ST),Ramsinh Patalyabhai Rathwa,M,BJP,353534,Rathwa Naranbhai Jemlabhai,M,INC,326536
Gujarat,22,Bharuch,GEN,Mansukhbhai D. Vasava,M,BJP,311019,Umerji Ahmed Ugharatdar (Aziz Tankarvi),M,INC,283787
Gujarat,23,Bardoli,(ST),Dr. Tushar Amarsinh Chaudhary,M,INC,398430,Vasava Riteshkumar Amarsinh,M,BJP,339445
Gujarat,24,Surat,GEN,Smt. Darshana Vikram Jardosh,F,BJP,364947,Gajera Dhirubhai Haribhai,M,INC,290149
Gujarat,25,Navsari,GEN,Chandrakant Raghunath Patil,M,BJP,423413,Dhansukh Rajput,M,INC,290770
Gujarat,26,Valsad,(ST),Kishanbhai Vestabhai Patel,M,INC,357755,Patel Dhirubhai Chhaganbhai (Dr. D.C.Patel),M,BJP,350586
Haryana,1,Ambala,(SC),Kumari Selja,F,INC,322258,Rattan Lal Kataria,M,BJP,307688
Haryana,2,Kurukshetra,GEN,Naveen Jindal,M,INC,397204,Ashok Kumar Arora,M,INLD,278475
Haryana,3,Sirsa,(SC),Ashok Tanwar,M,INC,415584,Dr. Sita Ram,M,INLD,380085
Haryana,4,Hisar,GEN,Bhajan Lal,M,HJCBL,248476,Sampat Singh,M,INLD,241493
Haryana,<b>By Polls (2011)</b>,Hisar,GEN,Kuldeep Bishnoi,M,HJCBL,"3,55,955",Ajay Singh Chautala,M,INLD,"3,49,618"
Haryana,5,Karnal,GEN,"Dr. Arvind Kumar Sharma,",M,INC,304698,Maratha Virender Verma,M,BSP,228352
Haryana,6,Sonipat,GEN,Jitender Singh Malik,M,INC,338795,Kishan Singh Sangwan,M,BJP,177511
Haryana,7,Rohtak,GEN,Deepender Singh Hooda,M,INC,585016,Nafe Singh Rathee,M,INLD,139280
Haryana,8,Bhiwani-Mahendragarh,GEN,Smt. Shruti Choudhry,F,INC,302817,Ajay Singh Chautala,M,INLD,247240
Haryana,9,Gurgaon,GEN,Inderjit Singh Rao,M,INC,278516,Zakir Hussain,M,BSP,193652
Haryana,10,Faridabad,GEN,Avtar Singh Bhadana,M,INC,257864,Ramchander Bainda,M,BJP,189663
Himachal Pradesh,1,Kangra,GEN,Dr. Rajan Sushant,M,BJP,322254,Chander Kumar,M,INC,301475
Himachal Pradesh,2,Mandi,GEN,Virbhadra Singh,M,INC,340973,Maheshwar Singh,M,BJP,326976
Himachal Pradesh,3,Hamirpur,GEN,Anurag Singh Thakur,M,BJP,373598,Narinder Thakur,M,INC,300866
Himachal Pradesh,4,Shimla,(SC),Virender Kashyap,M,BJP,310946,Dhani Ram Shandil,M,INC,283619
